,,,Nominated Position Location (State),2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23 to 31 March 2023
,,Primary,Australian Capital Territory,,,,,<5,<5,,<5,7,<5,,,,,,<5,7,
,,,New South Wales,<5,6,21,30,22,14,15,8,7,5,<5,8,<5,<5,<5,5,11,9
,,,Northern Territory,<5,,,,,,,,,<5,<5,,<5,<5,,5,8,<5
,,,Queensland,15,22,23,16,23,18,19,8,5,23,19,34,32,49,38,48,38,45
,,,South Australia,,,,<5,<5,<5,7,,<5,<5,<5,7,13,9,27,<5,10,<5
,,,Tasmania,,<5,<5,,,,,,,,,,,,,,<5,<5
,,,Victoria,<5,<5,<5,<5,9,24,17,12,14,25,15,13,16,26,24,30,60,66
,,,Western Australia,,7,22,14,42,25,50,50,42,38,102,132,157,129,175,257,246,116
,,Primary Total,,22,37,69,65,101,84,108,80,79,96,142,194,221,218,268,348,381,242
,,Grand Total,,22,37,69,65,101,84,108,80,79,96,142,194,221,218,268,348,381,242
